section,team
B8213,MBA Alfa
B8213,MBA Bravo
B8213,MBA Charlie
B8213,MBA Delta
B8213,MBA Echo
B8213,MBA Foxtrot
B8213,MBA Golf
B8213,MBA Hotel
B8213,MBA India
B8213,MBA Juliett
B8213,MBA Kilo
B8213,MBA Lima
B8213,MBA Mike
B8213,MBA November
B8213,MBA Oscar
B8213,MBA Papa
B8213,MBA Quebec
B8213,MBA Romeo
B8213,MBA Sierra
B8213,MBA Tango
B8213,MBA Uniform
B8213,MBA Whiskey
B8213,MBA Xray
B8213,MBA Yankee
B8213,MBA Zulu
B7213,EMBA Alfa
B7213,EMBA Bravo
B7213,EMBA Charlie
B7213,EMBA Delta
B7213,EMBA Echo
B7213,EMBA Foxtrot
B7213,EMBA Golf
B7213,EMBA Hotel
B7213,EMBA India
B7213,EMBA Juliett
B7213,EMBA Kilo
B7213,EMBA Lima
B7213,EMBA Mike
B7213,EMBA November
